               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099062,            0.023549,                   0,           0.0016444,             0.62185,           0.0024051,          0.00051227,            0.077424,            0.016548,                   0,              0.0721,              0.0031,              0.0031
                   1,            0.077404,            0.018439,                   0,           0.0022586,             0.85294,            0.011675,           0.0030837,            0.070243,            0.016036,                   0,            0.043238,           0.0062376,           0.0062376
                   2,            0.071915,             0.01999,                   0,           0.0013064,             0.31933,           0.0015125,          0.00044217,             0.08227,            0.017452,                   0,            0.014312,           0.0093119,           0.0093119
                   3,            0.064389,            0.018108,                   0,             0.15227,             0.13025,            0.052568,            0.015258,            0.066906,            0.016895,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.055266,            0.016674,                   0,             0.37546,             0.34034,             0.28665,            0.099712,            0.050077,            0.019199,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.052033,            0.016079,                   0,             0.29997,             0.48319,             0.30601,             0.11759,            0.050503,            0.019393,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04993,             0.01619,                   0,             0.34453,             0.47479,             0.31622,             0.11048,            0.046395,            0.014567,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048289,            0.015201,                   0,             0.40333,             0.47059,              0.3512,             0.12902,            0.044577,            0.013817,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.045456,            0.014235,                   0,             0.45282,             0.60084,             0.45791,             0.20291,            0.040752,            0.013343,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.045098,            0.013872,                   0,             0.31053,             0.35294,              0.1996,            0.063613,            0.053688,            0.016814,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043925,            0.014779,                   0,             0.42647,             0.48319,             0.37361,             0.16503,            0.046837,            0.013717,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.043763,            0.015028,                   0,             0.40682,             0.42017,             0.34633,             0.12936,            0.045171,            0.014094,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.042763,            0.013524,                   0,             0.45538,             0.55042,             0.46538,             0.18194,            0.041889,            0.013926,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.042817,            0.013064,                   0,             0.33225,             0.26891,             0.18174,            0.067016,            0.054178,              0.0178,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041524,            0.013387,                   0,               0.362,             0.36975,             0.28895,             0.11473,            0.049904,            0.015107,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041729,            0.012398,                   0,             0.39946,             0.39916,             0.35083,             0.13913,            0.047806,            0.016535,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.041136,            0.013282,                   0,             0.58851,             0.61295,             0.62161,             0.29719,            0.036996,            0.011834,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.039538,            0.013135,                   0,             0.27602,             0.20168,             0.14673,            0.051356,             0.05918,            0.019103,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.039812,            0.013179,                   0,             0.53081,             0.63025,             0.54935,             0.23285,            0.041295,            0.012006,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04137,            0.012567,                   0,             0.61438,              0.7521,             0.67874,             0.34156,            0.033973,             0.01099,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.040545,            0.012886,                   0,             0.45459,             0.43277,             0.39018,              0.1732,            0.043853,             0.01513,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.038035,            0.012314,                   0,             0.61971,             0.58883,             0.60662,              0.2908,            0.037676,            0.012863,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.037865,             0.01235,                   0,             0.58173,             0.57268,             0.56133,             0.27205,            0.036572,            0.013168,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.038367,            0.013088,                   0,             0.65569,             0.68487,              0.6585,             0.32379,            0.034916,            0.011973,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.036677,            0.012699,                   0,             0.67831,             0.63445,             0.65939,             0.30823,             0.03912,            0.012121,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.037889,            0.012169,                   0,             0.46427,             0.56303,             0.48502,             0.24004,            0.038262,             0.01488,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.038396,            0.012295,                   0,             0.63526,              0.7395,             0.73733,             0.38387,            0.034472,            0.010279,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.035363,            0.011931,                   0,             0.73213,             0.56303,             0.61952,             0.29695,            0.036379,            0.014453,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.037268,            0.010846,                   0,              0.6529,             0.79825,             0.79176,             0.43179,            0.030865,           0.0099386,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.035795,            0.011976,                   0,             0.55897,             0.55042,             0.56336,             0.23709,            0.041238,            0.012838,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.035367,            0.011858,                   0,             0.71181,             0.77834,             0.75831,             0.40295,            0.031729,            0.010339,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.035201,            0.011956,                   0,              0.7078,             0.70588,              0.7239,             0.40029,            0.031662,            0.012172,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.032151,            0.011043,                   0,             0.67351,             0.71074,             0.73665,             0.40138,            0.033238,            0.011459,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.033692,           0.0099612,                   0,             0.59312,             0.66807,              0.6441,             0.31505,            0.035792,            0.011302,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.03349,            0.011045,                   0,             0.71501,             0.76891,             0.76341,             0.41433,             0.03245,            0.010477,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.033491,            0.010728,                   0,              0.7283,             0.81933,              0.8133,             0.46283,            0.029445,             0.00931,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.033433,            0.010401,                   0,             0.64882,             0.69088,             0.69443,             0.35246,            0.033164,            0.011909,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.03313,            0.011495,                   0,             0.77744,             0.81933,             0.84856,              0.4929,            0.029152,           0.0099318,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.032713,            0.011408,                   0,              0.8125,             0.80113,             0.87412,             0.51027,            0.028164,           0.0093738,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.032534,            0.010947,                   0,             0.78334,             0.70588,             0.79907,             0.45069,             0.03002,            0.010788,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031425,            0.010123,                   0,             0.76035,             0.82652,             0.85787,             0.50833,             0.02864,           0.0091009,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.032926,           0.0093936,                   0,             0.87464,             0.80252,             0.91047,             0.54477,            0.028156,           0.0080969,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.031184,            0.010103,                   0,             0.79957,             0.66807,             0.79767,             0.44443,             0.03101,           0.0099077,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031514,            0.010298,                   0,             0.74934,             0.84454,             0.86636,             0.50557,            0.029422,           0.0092025,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030995,            0.010111,                   0,             0.77913,             0.70168,             0.79064,             0.46039,            0.029369,            0.010125,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030469,           0.0093624,                   0,             0.77765,             0.77882,             0.85903,             0.51685,            0.027103,           0.0091971,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.03103,            0.010142,                   0,             0.87949,             0.86134,             0.93422,             0.60625,            0.025257,           0.0082546,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029735,            0.010343,                   0,             0.86281,             0.92437,             0.95525,             0.61778,            0.025255,           0.0069455,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029302,           0.0099235,                   0,             0.68836,             0.65126,               0.709,             0.39875,             0.03244,            0.011637,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027765,           0.0095899,                   0,             0.86017,             0.90466,             0.93699,              0.6327,            0.022817,           0.0070115,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02733,           0.0087816,                   0,             0.78159,              0.7479,             0.81542,             0.48142,            0.028728,           0.0098347,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.029631,            0.010044,                   0,             0.85344,             0.85636,             0.92169,             0.60031,            0.025175,           0.0078079,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029942,           0.0089562,                   0,             0.84151,             0.84034,             0.91214,              0.5565,            0.026687,           0.0079283,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027992,           0.0088716,                   0,             0.83013,             0.80672,             0.87908,             0.53646,            0.026434,           0.0085765,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028634,           0.0093624,                   0,             0.89831,             0.95798,             0.97504,             0.68789,            0.021647,           0.0062437,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027735,           0.0093766,                   0,              0.8966,             0.95378,             0.97116,             0.66571,            0.022381,           0.0063413,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.027343,           0.0090465,                   0,             0.89748,             0.91953,             0.95529,             0.66406,            0.022291,           0.0066406,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026842,            0.010014,                   0,             0.86852,             0.77715,             0.91603,             0.61639,             0.02442,           0.0077122,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028614,           0.0096785,                   0,             0.74519,              0.7563,             0.80121,             0.49679,            0.028775,            0.010357,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025886,           0.0092113,                   0,             0.91339,             0.93052,             0.97272,             0.68612,            0.021157,           0.0063811,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.026696,           0.0093234,                   0,             0.90935,             0.88515,             0.96487,             0.66638,            0.022455,           0.0067082,                   0,            0.004159,            0.004159,            0.004159
